94.5 4.1
108 6.69
115.7 7.97
125 9.64
132.5 10.9
140 12.4
154 14.9
178 19.2
188 21.1
197 22.8
216 26.3
230 29.3
257.5 33.8
280 38.3
309 43.5
291 40.4
